n,m,graph_id,solver,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds
5,5,0,PathIntegralAnnealingSampler,True,7.0,7.0,1.0,0.749,5
5,5,0,RandomSampler,False,,7.0,,0.0,5
5,8,1,PathIntegralAnnealingSampler,True,14.0,13.0,1.0769230769230769,0.626,5
5,8,1,RandomSampler,False,,13.0,,0.0,5
5,6,2,PathIntegralAnnealingSampler,True,10.0,9.0,1.1111111111111112,0.724,5
5,6,2,RandomSampler,False,,9.0,,0.0,5
5,6,3,PathIntegralAnnealingSampler,True,9.0,9.0,1.0,0.75,5
5,6,3,RandomSampler,False,,9.0,,0.0,5
5,4,4,PathIntegralAnnealingSampler,True,5.0,4.5,1.1111111111111112,0.767,5
5,4,4,RandomSampler,False,,4.5,,0.0,5
5,5,5,PathIntegralAnnealingSampler,True,6.0,6.0,1.0,0.7,5
5,5,5,RandomSampler,False,,6.0,,0.0,5
5,6,6,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.613,5
5,6,6,RandomSampler,False,,8.0,,0.0,5
5,6,7,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.695,5
5,6,7,RandomSampler,False,,8.0,,0.0,5
5,6,8,PathIntegralAnnealingSampler,True,9.0,8.0,1.125,0.627,5
5,6,8,RandomSampler,False,,8.0,,0.0,5
5,5,9,PathIntegralAnnealingSampler,True,6.0,6.0,1.0,0.702,5
5,5,9,RandomSampler,False,,6.0,,0.0,5
5,5,10,PathIntegralAnnealingSampler,True,7.0,6.0,1.1666666666666667,0.625,5
5,5,10,RandomSampler,False,,6.0,,0.0,5
5,7,11,PathIntegralAnnealingSampler,True,12.0,11.0,1.0909090909090908,0.715,5
5,7,11,RandomSampler,False,,11.0,,0.0,5
5,7,12,PathIntegralAnnealingSampler,True,11.0,10.0,1.1,0.636,5
5,7,12,RandomSampler,False,,10.0,,0.0,5
5,9,13,PathIntegralAnnealingSampler,True,16.0,16.0,1.0,0.625,5
5,9,13,RandomSampler,False,,16.0,,0.0,5
5,7,14,PathIntegralAnnealingSampler,True,10.0,10.0,1.0,0.613,5
5,7,14,RandomSampler,False,,10.0,,0.0,5
5,4,15,PathIntegralAnnealingSampler,True,6.0,5.0,1.2,0.623,5
5,4,15,RandomSampler,False,,5.0,,0.0,5
5,4,16,PathIntegralAnnealingSampler,True,4.0,4.0,1.0,0.847,5
5,4,16,RandomSampler,False,,4.0,,0.0,5
5,8,17,PathIntegralAnnealingSampler,True,13.0,13.0,1.0,0.621,5
5,8,17,RandomSampler,False,,13.0,,0.0,5
5,5,18,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.863,5
5,5,18,RandomSampler,False,,8.0,,0.0,5
5,7,19,PathIntegralAnnealingSampler,True,12.0,10.0,1.2,0.619,5
5,7,19,RandomSampler,False,,10.0,,0.0,5
5,10,20,PathIntegralAnnealingSampler,True,20.0,20.0,1.0,0.627,5
5,10,20,RandomSampler,False,,20.0,,0.0,5
10,21,0,PathIntegralAnnealingSampler,True,51.0,37.0,1.3783783783783783,3.14,5
10,21,0,RandomSampler,False,,37.0,,0.0,5
10,25,1,PathIntegralAnnealingSampler,True,67.0,50.000000000000014,1.3399999999999996,3.182,5
10,25,1,RandomSampler,False,,50.000000000000014,,0.0,5
10,19,2,PathIntegralAnnealingSampler,True,47.6,32.0,1.4875,3.267,5
10,19,2,RandomSampler,False,,32.0,,0.0,5
10,27,3,PathIntegralAnnealingSampler,True,76.2,60.58877549200332,1.2576586897693136,3.059,5
10,27,3,RandomSampler,False,,60.58877549200332,,0.0,5
10,23,4,PathIntegralAnnealingSampler,True,57.6,43.0,1.3395348837209302,3.077,5
10,23,4,RandomSampler,False,,43.0,,0.0,5
10,20,5,PathIntegralAnnealingSampler,True,39.0,34.0,1.1470588235294117,3.269,5
10,20,5,RandomSampler,False,,34.0,,0.0,5
10,22,6,PathIntegralAnnealingSampler,True,52.2,40.0,1.3050000000000002,3.346,5
10,22,6,RandomSampler,False,,40.0,,0.0,5
10,20,7,PathIntegralAnnealingSampler,True,41.2,35.0,1.1771428571428573,3.097,5
10,20,7,RandomSampler,False,,35.0,,0.0,5
10,23,8,PathIntegralAnnealingSampler,True,58.0,43.0,1.3488372093023255,2.927,5
10,23,8,RandomSampler,False,,43.0,,0.0,5
10,20,9,PathIntegralAnnealingSampler,True,48.4,34.5,1.4028985507246376,3.073,5
10,20,9,RandomSampler,False,,34.5,,0.0,5
10,24,10,PathIntegralAnnealingSampler,True,56.2,46.0,1.2217391304347827,3.097,5
10,24,10,RandomSampler,False,,46.0,,0.0,5
10,25,11,PathIntegralAnnealingSampler,True,61.8,50.000000000000014,1.2359999999999995,3.059,5
10,25,11,RandomSampler,False,,50.000000000000014,,0.0,5
10,18,12,PathIntegralAnnealingSampler,True,38.0,31.0,1.2258064516129032,3.486,5
10,18,12,RandomSampler,False,,31.0,,0.0,5
10,26,13,PathIntegralAnnealingSampler,True,74.6,56.63069551653586,1.3173067948320925,3.057,5
10,26,13,RandomSampler,False,,56.63069551653586,,0.0,5
10,24,14,PathIntegralAnnealingSampler,True,62.2,46.0,1.3521739130434782,3.073,5
10,24,14,RandomSampler,False,,46.0,,0.0,5
10,22,15,PathIntegralAnnealingSampler,True,52.0,40.0,1.3,2.946,5
10,22,15,RandomSampler,False,,40.0,,0.0,5
10,19,16,PathIntegralAnnealingSampler,True,43.0,33.0,1.303030303030303,3.517,5
10,19,16,RandomSampler,False,,33.0,,0.0,5
10,18,17,PathIntegralAnnealingSampler,True,36.0,30.0,1.2,3.514,5
10,18,17,RandomSampler,False,,30.0,,0.0,5
10,18,18,PathIntegralAnnealingSampler,True,37.0,31.0,1.1935483870967742,3.495,5
10,18,18,RandomSampler,False,,31.0,,0.0,5
10,24,19,PathIntegralAnnealingSampler,True,62.6,46.0,1.3608695652173914,3.087,5
10,24,19,RandomSampler,False,,46.0,,0.0,5
10,15,20,PathIntegralAnnealingSampler,True,31.0,25.0,1.24,3.877,5
10,15,20,RandomSampler,False,,25.0,,0.0,5
10,20,21,PathIntegralAnnealingSampler,True,45.6,34.0,1.3411764705882354,3.253,5
10,20,21,RandomSampler,False,,34.0,,0.0,5
10,28,22,PathIntegralAnnealingSampler,True,81.4,62.000000000000014,1.3129032258064515,3.09,5
10,28,22,RandomSampler,False,,62.000000000000014,,0.0,5
10,20,23,PathIntegralAnnealingSampler,True,50.2,34.0,1.4764705882352942,3.251,5
10,20,23,RandomSampler,False,,34.0,,0.0,5
10,20,24,PathIntegralAnnealingSampler,True,45.6,34.5,1.3217391304347827,2.955,5
10,20,24,RandomSampler,False,,34.5,,0.0,5
10,28,25,PathIntegralAnnealingSampler,True,75.2,62.000000000000014,1.2129032258064514,3.015,5
10,28,25,RandomSampler,False,,62.000000000000014,,0.0,5
10,23,26,PathIntegralAnnealingSampler,True,56.4,43.0,1.3116279069767443,3.088,5
10,23,26,RandomSampler,False,,43.0,,0.0,5
10,20,27,PathIntegralAnnealingSampler,True,46.6,34.0,1.3705882352941177,3.082,5
10,20,27,RandomSampler,False,,34.0,,0.0,5
10,22,28,PathIntegralAnnealingSampler,True,51.0,40.0,1.275,2.976,5
10,22,28,RandomSampler,False,,40.0,,0.0,5
10,27,29,PathIntegralAnnealingSampler,True,69.0,58.000000000000014,1.1896551724137927,3.074,5
10,27,29,RandomSampler,False,,58.000000000000014,,0.0,5
10,23,30,PathIntegralAnnealingSampler,True,56.0,43.0,1.302325581395349,3.063,5
10,23,30,RandomSampler,False,,43.0,,0.0,5
10,22,31,PathIntegralAnnealingSampler,True,51.0,40.0,1.275,3.529,5
10,22,31,RandomSampler,False,,40.0,,0.0,5
10,21,32,PathIntegralAnnealingSampler,True,55.0,37.0,1.4864864864864864,3.249,5
10,21,32,RandomSampler,False,,37.0,,0.0,5
10,21,33,PathIntegralAnnealingSampler,True,51.8,37.0,1.4,3.261,5
10,21,33,RandomSampler,False,,37.0,,0.0,5
10,19,34,PathIntegralAnnealingSampler,True,39.0,31.0,1.2580645161290323,3.256,5
10,19,34,RandomSampler,False,,31.0,,0.0,5
10,29,35,PathIntegralAnnealingSampler,True,81.8,66.00000000000001,1.239393939393939,2.924,5
10,29,35,RandomSampler,False,,66.00000000000001,,0.0,5
10,20,36,PathIntegralAnnealingSampler,True,47.4,34.0,1.3941176470588235,3.265,5
10,20,36,RandomSampler,False,,34.0,,0.0,5
10,18,37,PathIntegralAnnealingSampler,True,42.0,29.0,1.4482758620689655,3.11,5
10,18,37,RandomSampler,False,,29.0,,0.0,5
10,22,38,PathIntegralAnnealingSampler,True,48.0,40.0,1.2,3.074,5
10,22,38,RandomSampler,False,,40.0,,0.0,5
10,17,39,PathIntegralAnnealingSampler,True,33.0,28.0,1.1785714285714286,3.505,5
10,17,39,RandomSampler,False,,28.0,,0.0,5
10,25,40,PathIntegralAnnealingSampler,True,58.8,50.000000000000014,1.1759999999999997,3.052,5
10,25,40,RandomSampler,False,,50.000000000000014,,0.0,5
10,23,41,PathIntegralAnnealingSampler,True,59.4,43.0,1.3813953488372093,3.271,5
10,23,41,RandomSampler,False,,43.0,,0.0,5
10,19,42,PathIntegralAnnealingSampler,True,42.6,32.0,1.33125,3.242,5
10,19,42,RandomSampler,False,,32.0,,0.0,5
10,23,43,PathIntegralAnnealingSampler,True,58.4,43.0,1.3581395348837209,2.935,5
10,23,43,RandomSampler,False,,43.0,,0.0,5
10,19,44,PathIntegralAnnealingSampler,True,41.0,32.0,1.28125,3.497,5
10,19,44,RandomSampler,False,,32.0,,0.0,5
10,22,45,PathIntegralAnnealingSampler,True,45.0,40.0,1.125,3.241,5
10,22,45,RandomSampler,False,,40.0,,0.0,5
10,22,46,PathIntegralAnnealingSampler,True,48.2,40.0,1.205,3.259,5
10,22,46,RandomSampler,False,,40.0,,0.0,5
10,22,47,PathIntegralAnnealingSampler,True,51.0,40.0,1.275,3.261,5
10,22,47,RandomSampler,False,,40.0,,0.0,5
10,30,48,PathIntegralAnnealingSampler,True,84.8,70.00000000000001,1.211428571428571,2.937,5
10,30,48,RandomSampler,False,,70.00000000000001,,0.0,5
10,24,49,PathIntegralAnnealingSampler,True,64.2,46.0,1.3956521739130436,3.047,5
10,24,49,RandomSampler,False,,46.0,,0.0,5
10,16,50,PathIntegralAnnealingSampler,True,34.0,27.0,1.2592592592592593,3.496,5
10,16,50,RandomSampler,False,,27.0,,0.0,5
10,28,51,PathIntegralAnnealingSampler,True,78.0,62.000000000000014,1.258064516129032,3.06,5
10,28,51,RandomSampler,False,,62.000000000000014,,0.0,5
10,24,52,PathIntegralAnnealingSampler,True,57.75,46.0,1.2554347826086956,3.061,5
10,24,52,RandomSampler,False,,46.0,,0.0,5
10,21,53,PathIntegralAnnealingSampler,True,52.0,37.0,1.4054054054054055,3.268,5
10,21,53,RandomSampler,False,,37.0,,0.0,5
10,21,54,PathIntegralAnnealingSampler,True,48.2,37.0,1.3027027027027027,3.057,5
10,21,54,RandomSampler,False,,37.0,,0.0,5
10,28,55,PathIntegralAnnealingSampler,True,75.6,62.000000000000014,1.219354838709677,2.924,5
10,28,55,RandomSampler,False,,62.000000000000014,,0.0,5
10,23,56,PathIntegralAnnealingSampler,True,53.0,43.0,1.2325581395348837,3.251,5
10,23,56,RandomSampler,False,,43.0,,0.0,5
10,18,57,PathIntegralAnnealingSampler,True,39.0,31.0,1.2580645161290323,3.495,5
10,18,57,RandomSampler,False,,31.0,,0.0,5
10,21,58,PathIntegralAnnealingSampler,True,48.0,37.0,1.2972972972972974,3.259,5
10,21,58,RandomSampler,False,,37.0,,0.0,5
10,24,59,PathIntegralAnnealingSampler,True,63.0,46.0,1.3695652173913044,3.249,5
10,24,59,RandomSampler,False,,46.0,,0.0,5
10,23,60,PathIntegralAnnealingSampler,True,60.0,43.0,1.3953488372093024,3.046,5
10,23,60,RandomSampler,False,,43.0,,0.0,5
10,26,61,PathIntegralAnnealingSampler,True,67.0,54.000000000000014,1.2407407407407405,3.242,5
10,26,61,RandomSampler,False,,54.000000000000014,,0.0,5
10,25,62,PathIntegralAnnealingSampler,True,66.4,50.000000000000014,1.3279999999999998,2.949,5
10,25,62,RandomSampler,False,,50.000000000000014,,0.0,5
10,19,63,PathIntegralAnnealingSampler,True,43.8,32.0,1.36875,3.257,5
10,19,63,RandomSampler,False,,32.0,,0.0,5
10,17,64,PathIntegralAnnealingSampler,True,35.0,27.0,1.2962962962962963,3.512,5
10,17,64,RandomSampler,False,,27.0,,0.0,5
10,24,65,PathIntegralAnnealingSampler,True,62.4,46.0,1.3565217391304347,3.251,5
10,24,65,RandomSampler,False,,46.0,,0.0,5
10,30,66,PathIntegralAnnealingSampler,True,84.4,70.00000000000001,1.2057142857142855,2.926,5
10,30,66,RandomSampler,False,,70.00000000000001,,0.0,5
10,17,67,PathIntegralAnnealingSampler,True,38.6,29.0,1.3310344827586207,3.52,5
10,17,67,RandomSampler,False,,29.0,,0.0,5
10,25,68,PathIntegralAnnealingSampler,True,64.2,50.000000000000014,1.2839999999999996,3.075,5
10,25,68,RandomSampler,False,,50.000000000000014,,0.0,5
10,20,69,PathIntegralAnnealingSampler,True,49.0,34.0,1.4411764705882353,3.318,5
10,20,69,RandomSampler,False,,34.0,,0.0,5
10,21,70,PathIntegralAnnealingSampler,True,44.0,37.0,1.1891891891891893,3.225,5
10,21,70,RandomSampler,False,,37.0,,0.0,5
10,18,71,PathIntegralAnnealingSampler,True,34.8,28.0,1.2428571428571427,3.287,5
10,18,71,RandomSampler,False,,28.0,,0.0,5
10,25,72,PathIntegralAnnealingSampler,True,65.4,50.000000000000014,1.3079999999999998,3.052,5
10,25,72,RandomSampler,False,,50.000000000000014,,0.0,5
10,22,73,PathIntegralAnnealingSampler,True,56.2,40.0,1.405,3.314,5
10,22,73,RandomSampler,False,,40.0,,0.0,5
10,27,74,PathIntegralAnnealingSampler,True,75.4,58.000000000000014,1.2999999999999998,3.113,5
10,27,74,RandomSampler,False,,58.000000000000014,,0.0,5
10,24,75,PathIntegralAnnealingSampler,True,59.0,46.0,1.2826086956521738,3.133,5
10,24,75,RandomSampler,False,,46.0,,0.0,5
10,22,76,PathIntegralAnnealingSampler,True,52.0,40.0,1.3,3.254,5
10,22,76,RandomSampler,False,,40.0,,0.0,5
10,25,77,PathIntegralAnnealingSampler,True,62.0,50.000000000000014,1.2399999999999995,3.082,5
10,25,77,RandomSampler,False,,50.000000000000014,,0.0,5
10,16,78,PathIntegralAnnealingSampler,True,33.0,28.0,1.1785714285714286,3.909,5
10,16,78,RandomSampler,False,,28.0,,0.0,5
10,19,79,PathIntegralAnnealingSampler,True,43.0,31.0,1.3870967741935485,3.292,5
10,19,79,RandomSampler,False,,31.0,,0.0,5
10,22,80,PathIntegralAnnealingSampler,True,54.2,40.0,1.355,2.951,5
10,22,80,RandomSampler,False,,40.0,,0.0,5
10,19,81,PathIntegralAnnealingSampler,True,42.4,31.0,1.367741935483871,3.08,5
10,19,81,RandomSampler,False,,31.0,,0.0,5
10,18,82,PathIntegralAnnealingSampler,True,35.0,31.0,1.1290322580645162,3.554,5
10,18,82,RandomSampler,False,,31.0,,0.0,5
10,27,83,PathIntegralAnnealingSampler,True,74.4,58.000000000000014,1.2827586206896548,3.078,5
10,27,83,RandomSampler,False,,58.000000000000014,,0.0,5
10,23,84,PathIntegralAnnealingSampler,True,55.2,43.0,1.2837209302325583,3.063,5
10,23,84,RandomSampler,False,,43.0,,0.0,5
10,23,85,PathIntegralAnnealingSampler,True,54.0,43.0,1.255813953488372,3.109,5
10,23,85,RandomSampler,False,,43.0,,0.0,5
10,24,86,PathIntegralAnnealingSampler,True,58.4,46.0,1.2695652173913043,3.1,5
10,24,86,RandomSampler,False,,46.0,,0.0,5
10,22,87,PathIntegralAnnealingSampler,True,53.6,40.0,1.34,2.956,5
10,22,87,RandomSampler,False,,40.0,,0.0,5
10,23,88,PathIntegralAnnealingSampler,True,51.0,43.0,1.186046511627907,3.078,5
10,23,88,RandomSampler,False,,43.0,,0.0,5
10,20,89,PathIntegralAnnealingSampler,True,46.2,34.0,1.3588235294117648,3.053,5
10,20,89,RandomSampler,False,,34.0,,0.0,5
10,22,90,PathIntegralAnnealingSampler,True,57.0,40.0,1.425,3.254,5
10,22,90,RandomSampler,False,,40.0,,0.0,5
10,24,91,PathIntegralAnnealingSampler,True,56.0,46.0,1.2173913043478262,2.896,5
10,24,91,RandomSampler,False,,46.0,,0.0,5
10,23,92,PathIntegralAnnealingSampler,True,55.0,43.0,1.2790697674418605,3.072,5
10,23,92,RandomSampler,False,,43.0,,0.0,5
10,27,93,PathIntegralAnnealingSampler,True,69.8,58.000000000000014,1.2034482758620686,2.936,5
10,27,93,RandomSampler,False,,58.000000000000014,,0.0,5
10,25,94,PathIntegralAnnealingSampler,True,63.2,50.000000000000014,1.2639999999999998,2.932,5
10,25,94,RandomSampler,False,,50.000000000000014,,0.0,5
10,26,95,PathIntegralAnnealingSampler,True,69.6,54.000000000000014,1.2888888888888885,3.061,5
10,26,95,RandomSampler,False,,54.000000000000014,,0.0,5
10,24,96,PathIntegralAnnealingSampler,True,59.4,46.0,1.2913043478260868,3.041,5
10,24,96,RandomSampler,False,,46.0,,0.0,5
10,25,97,PathIntegralAnnealingSampler,True,63.0,50.000000000000014,1.2599999999999996,3.061,5
10,25,97,RandomSampler,False,,50.000000000000014,,0.0,5
10,21,98,PathIntegralAnnealingSampler,True,55.6,37.619145031507,1.477970856419878,3.251,5
10,21,98,RandomSampler,False,,37.619145031507,,0.0,5
10,25,99,PathIntegralAnnealingSampler,True,58.4,50.000000000000014,1.1679999999999997,2.938,5
10,25,99,RandomSampler,False,,50.000000000000014,,0.0,5
15,52,0,PathIntegralAnnealingSampler,True,198.2,130.0,1.5246153846153845,8.259,5
15,52,0,RandomSampler,False,,130.0,,0.0,5
15,57,1,PathIntegralAnnealingSampler,True,215.0,158.44971975379082,1.3568973194403915,8.506,5
15,57,1,RandomSampler,False,,158.44971975379082,,0.0,5
15,48,2,PathIntegralAnnealingSampler,True,172.8,117.12997260862794,1.4752842176219492,8.456,5
15,48,2,RandomSampler,False,,117.12997260862794,,0.0,5
15,52,3,PathIntegralAnnealingSampler,True,196.6,130.0,1.5123076923076924,8.386,5
15,52,3,RandomSampler,False,,130.0,,0.0,5
15,53,4,PathIntegralAnnealingSampler,True,196.6,135.0,1.4562962962962962,8.023,5
