n,m,graph_id,solver,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds
5,5,0,PathIntegralAnnealingSampler,True,7.0,7.0,1.0,0.339,5
5,5,0,RandomSampler,False,,7.0,,0.0,5
5,8,1,PathIntegralAnnealingSampler,True,14.0,13.0,1.0769230769230769,0.34,5
5,8,1,RandomSampler,False,,13.0,,0.0,5
5,6,2,PathIntegralAnnealingSampler,True,10.0,9.0,1.1111111111111112,0.336,5
5,6,2,RandomSampler,False,,9.0,,0.0,5
5,6,3,PathIntegralAnnealingSampler,True,9.0,9.0,1.0,0.337,5
5,6,3,RandomSampler,False,,9.0,,0.0,5
5,4,4,PathIntegralAnnealingSampler,True,5.0,4.5,1.1111111111111112,0.335,5
5,4,4,RandomSampler,False,,4.5,,0.0,5
5,5,5,PathIntegralAnnealingSampler,True,6.0,6.0,1.0,0.34,5
5,5,5,RandomSampler,False,,6.0,,0.0,5
5,6,6,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.333,5
5,6,6,RandomSampler,False,,8.0,,0.0,5
5,6,7,PathIntegralAnnealingSampler,True,8.0,8.0,1.0,0.336,5
5,6,7,RandomSampler,False,,8.0,,0.0,5
5,6,8,PathIntegralAnnealingSampler,True,9.0,8.0,1.125,0.338,5
5,6,8,RandomSampler,False,,8.0,,0.0,5
5,5,9,PathIntegralAnnealingSampler,True,6.0,6.0,1.0,0.342,5
5,5,9,RandomSampler,False,,6.0,,0.0,5
5,5,10,PathIntegralAnnealingSampler,True,7.0,6.0,1.1666666666666667,0.336,5
5,5,10,RandomSampler,False,,6.0,,0.0,5
5,7,11,PathIntegralAnnealingSampler,True,12.0,11.0,1.0909090909090908,0.337,5
5,7,11,RandomSampler,False,,11.0,,0.0,5
5,7,12,PathIntegralAnnealingSampler,True,11.0,10.0,1.1,0.338,5
5,7,12,RandomSampler,False,,10.0,,0.0,5
5,9,13,PathIntegralAnnealingSampler,True,16.0,16.0,1.0,0.336,5
5,9,13,RandomSampler,False,,16.0,,0.0,5
5,7,14,PathIntegralAnnealingSampler,True,10.0,10.0,1.0,0.337,5
5,7,14,RandomSampler,False,,10.0,,0.0,5
